// Jockey_Stats

#,	Jockey,	Starts,	Wins,	Places,	Shows,	Earnings,	Win%,	WPS%
1,	Flavien Prat,	1,088,	260,	206,	166,	$36,156,179,	24%,	58%
2,	Irad Ortiz, Jr.,	1,394,	287,	251,	196,	$35,482,563,	21%,	53%
3,	Jose L. Ortiz,	1,272,	276,	212,	168,	$30,489,224,	22%,	52%
4,	Luis Saez,	1,341,	211,	201,	159,	$24,734,215,	16%,	43%
5,	John R. Velazquez,	692,	103,	100,	86,	$20,526,516,	15%,	42%
6,	Tyler Gaffalione,	845,	153,	135,	123,	$17,648,818,	18%,	49%
7,	Manuel Franco,	1,067,	184,	181,	169,	$17,260,190,	17%,	50%
8,	Junior Alvarado,	659,	101,	98,	86,	$17,210,747,	15%,	43%
9,	Joel Rosario,	652,	96,	71,	100,	$13,415,797,	15%,	41%
10,	Brian Joseph Hernandez, Jr.,	664,	110,	90,	81,	$13,302,021,	17%,	42%
11,	Kendrick Carmouche,	899,	166,	137,	141,	$13,011,111,	18%,	49%
12,	Dylan Davis,	1,004,	144,	145,	146,	$12,960,913,	14%,	43%
13,	Umberto Rispoli,	537,	117,	95,	72,	$12,623,805,	22%,	53%
14,	Juan J. Hernandez,	659,	169,	114,	73,	$12,573,837,	26%,	54%
15,	Paco Lopez,	1,203,	303,	202,	193,	$12,426,230,	25%,	58%
16,	Luan Machado,	847,	118,	99,	105,	$11,492,706,	14%,	38%
17,	Ricardo Santana, Jr.,	957,	131,	149,	113,	$11,213,440,	14%,	41%
18,	Florent Geroux,	485,	70,	62,	62,	$10,075,977,	14%,	40%
19,	Ben Curtis,	625,	95,	85,	74,	$9,770,075,	15%,	41%
20,	Mychel J. Sanchez,	1,164,	253,	202,	153,	$9,528,550,	22%,	52%
21,	Hector Isaac Berrios,	521,	106,	87,	88,	$8,615,963,	20%,	54%
22,	Antonio Fresu,	715,	124,	145,	103,	$8,608,253,	17%,	52%
23,	Edgar Morales,	869,	93,	111,	119,	$8,496,821,	11%,	37%
24,	Lanfranco Dettori,	318,	38,	28,	38,	$8,032,509,	12%,	33%
25,	Javier Castellano,	622,	80,	92,	84,	$7,953,178,	13%,	41%
26,	Edgard J. Zayas,	995,	178,	158,	148,	$7,863,587,	18%,	49%
27,	Jose Lezcano,	735,	113,	124,	106,	$7,829,012,	15%,	47%
28,	Cristian A. Torres,	683,	77,	95,	84,	$6,996,621,	11%,	37%
29,	Jaime Rodriguez,	858,	170,	152,	138,	$6,954,184,	20%,	54%
30,	Jaime A. Torres,	673,	85,	72,	91,	$6,639,584,	13%,	37%
31,	Rafael Manuel Hernandez,	673,	144,	101,	71,	$6,571,288,	21%,	47%
32,	Joseph D. Ramos,	788,	140,	116,	102,	$6,527,087,	18%,	45%
33,	Francisco Arrieta,	499,	79,	77,	70,	$6,308,065,	16%,	45%
34,	Samuel Marin,	951,	188,	176,	149,	$6,296,530,	20%,	54%
35,	Ramon A. Vazquez,	746,	152,	116,	80,	$6,178,418,	20%,	47%
36,	Keith J. Asmussen,	627,	63,	70,	73,	$6,142,174,	10%,	33%
37,	Rafael Bejarano,	444,	69,	64,	57,	$6,108,170,	16%,	43%
38,	Julien R. Leparoux,	416,	49,	57,	48,	$6,057,319,	12%,	37%
39,	Tyler W. Bacon,	739,	141,	142,	112,	$6,037,750,	19%,	53%
40,	Christopher Elliott,	900,	111,	108,	132,	$5,797,926,	12%,	39%
41,	Axel Concepcion,	640,	89,	85,	83,	$5,663,461,	14%,	40%
42,	Pietro Moran,	707,	118,	100,	123,	$5,334,123,	17%,	48%
43,	Sahin Civaci,	554,	109,	104,	80,	$5,249,499,	20%,	53%
44,	Kazushi Kimura,	625,	76,	74,	79,	$5,195,000,	12%,	37%
45,	Jorge Ruiz,	664,	105,	86,	93,	$5,071,293,	16%,	43%
46,	Ruben Silvera,	834,	98,	119,	103,	$5,058,458,	12%,	38%
